"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4";"R_0201_0603Metric";1;"10k";;;
2;"CR1";"SOT23-5L_STM";1;"LD2980ABM33TR";;;
3;"TP9,TP12,TP11,TP14,TP7,TP4,TP6,TP8,TP15,TP5,TP3,TP10";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";12;"TestPoint";;;
4;"C6,C10,C11,C7";"C_0201_0603Metric";4;"0.1uF";;;
5;"BT1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"LiPO";;;
6;"U6";"SON8_MS5611_TEC";1;"MS560702BA03-50";;;
7;"R6,R10";"R_0201_0603Metric";2;"1k";;;
8;"R11,R9,R7,R5";"R_0201_0603Metric";4;"100k";;;
9;"J4";"PinSocket_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
10;"R12,R8";"R_0201_0603Metric";2;"27k";;;
11;"C4,C8";"C_0201_0603Metric";2;"1uF";;;
12;"IC1";"ESP32S2MINI2N4R2";1;"ESP32-S2-MINI-2-N4R2";;;
13;"D3";"LED_0201_0603Metric";1;"BLUE";;;
14;"TP1,TP2";"TestPoint_Pad_D2.5mm";2;"TestPoint";;;
15;"C5,C9";"C_0201_0603Metric";2;"10uF";;;
16;"Q3,Q2";"SOT-23_MCC";2;"NMOS";;;
17;"J2,J1";"CONN_1725672_PXC";2;"Conn_01x04_Pin";;;
18;"U4";"QFN_BMI085_BOS";1;"BMI088";;;
19;"Q1";"DMP3099L-7_DIO";1;"PMOS";;;
20;"SW1";"SW_PTS636_CNK";1;"PTS636 SM50J SMTR LFS";;;
21;"R3,R2";"R_0201_0603Metric";2;"50";;;
22;"U2";"MOD18_MAX-M10M_UBL";1;"MAX-M10M-00B";;;
23;"R1";"R_0201_0603Metric";1;"110";;;
24;"U5";"MMC5983MA_MEM";1;"MMC5983MA";;;
25;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
26;"D1";"LED_0201_0603Metric";1;"RED";;;
27;"C1";"C_0201_0603Metric";1;"22uF";;;
28;"D2";"LED_0201_0603Metric";1;"GREEN";;;
29;"GPS_ANT";"Pin_D1.0mm_L10.0mm";1;"Pin_D1.0mm_L10.0mm";;;
30;"U1";"W25Q16JVSSIQ_WIN";1;"W25Q16JVSSIQ";;;
